Matrix            Our_Perf(ms)  CuSparse_Perf(ms)  Our_Pre(ms)  CuSparse_Pre(ms)  Elements
poisson3Db        0.0478        0.0584             0.7455       0.0254            85623
circuit5M         1.6135        1.5307             1.4193       1.2012            5558326
nlpkkt240         16.6673       17.0501            0.5110       1.5513            27993600
audikw_1          1.5527        1.4819             1.4438       1.2349            943695
mouse_gene        0.5571        0.5737             1.0086       0.0778            45101
Freescale1        0.6062        0.5473             1.2257       0.6400            3428755
web-Google        0.1459        0.1405             0.7987       0.5622            916428
web-Stanford      0.0717        0.0667             0.7178       0.0753            281903
cnr-2000          0.0660        0.0762             0.7383       0.0449            325557
cit-Patents       0.5619        0.6048             0.9779       0.7363            3774768
uk-2002           6.7435        6.9403             0.5960       1.2995            18520486
soc-LiveJournal1  2.1737        1.8057             1.9005       0.9926            4847571
