Matrix,Our_Perf(ms),cuSPAESE_Perf(ms),Our_Pre(ms),cuSPAESE_Pre(ms),Elements
poisson3Db,0.0462,0.0637,0.8459,0.0017,85623
circuit5M,1.6321,1.5325,1.3568,1.0969,5558326
nlpkkt240,16.7325,17.0667,0.4250,1.1612,27993600
audikw_1,1.5813,1.4837,1.4203,0.7384,943695
mouse_gene,0.5811,0.5807,1.3199,0.0552,45101
Freescale1,0.6120,0.5596,1.0701,0.5181,3428755
web-Google,0.1665,0.1411,0.7731,0.6226,916428
web-Stanford,0.0735,0.0664,0.9032,0.0206,281903
cnr-2000,0.0753,0.0840,0.9288,0.0696,325557
cit-Patents,0.5319,0.6112,1.0250,0.7772,3774768
uk-2002,6.8990,6.9802,0.5059,1.0617,18520486
soc-LiveJournal1,2.1427,1.8370,1.6384,0.5960,4847571
