Matrix,Our_Perf(ms),cuSPAESE_Perf(ms),Our_Pre(ms),cuSPAESE_Pre(ms),Elements
poisson3Db,0.0444,0.0597,0.7680,0.0310,85623
circuit5M,1.6343,1.5416,1.5032,1.1440,5558326
nlpkkt240,16.8499,17.1884,1.5288,1.3558,27993600
audikw_1,1.6303,1.5109,1.4756,1.1345,943695
mouse_gene,0.5979,0.5978,1.2186,0.0397,45101
Freescale1,0.6087,0.5568,1.0701,0.7014,3428755
web-Google,0.1485,0.1409,0.9083,0.4877,916428
web-Stanford,0.0720,0.0679,0.7148,0.0567,281903
cnr-2000,0.0673,0.0769,0.8079,0.0245,325557
cit-Patents,0.4639,0.6078,1.1100,1.0353,3774768
uk-2002,6.7409,6.9419,0.4895,1.1278,18520486
soc-LiveJournal1,1.9388,1.8039,1.4244,1.1530,4847571
