Matrix,Our_Perf(ms),cuSPAESE_Perf(ms),Our_Pre(ms),cuSPAESE_Pre(ms),Elements
poisson3Db,0.0555,0.0576,1.0138,0.0471,85623
circuit5M,1.7310,1.5262,1.6292,1.1514,5558326
nlpkkt240,17.1836,17.0415,0.7107,1.1091,27993600
audikw_1,1.6011,1.4817,1.6650,1.2954,943695
mouse_gene,0.5606,0.5737,1.4746,0.0358,45101
Freescale1,0.6438,0.5456,1.3496,0.7467,3428755
web-Google,0.1817,0.1400,0.9513,0.5121,916428
web-Stanford,0.0697,0.0681,0.8059,0.0010,281903
cnr-2000,0.0738,0.0764,0.9605,0.0019,325557
cit-Patents,0.5230,0.6058,1.1663,0.7987,3774768
uk-2002,7.1543,6.9406,0.5612,0.8830,18520486
soc-LiveJournal1,1.9895,1.8046,1.6445,0.6227,4847571
