Matrix,Our_Perf(ms),cuSPAESE_Perf(ms),Our_Pre(ms),cuSPAESE_Pre(ms),Elements
poisson3Db,0.0506,0.0637,0.9155,0.0235,85623
circuit5M,1.6204,1.5449,1.6732,1.2032,5558326
nlpkkt240,16.8705,17.1656,0.9236,1.4306,27993600
audikw_1,1.5829,1.5005,1.6876,1.1080,943695
mouse_gene,0.5587,0.5742,1.5708,0.0615,45101
Freescale1,0.6201,0.5533,1.3107,0.7127,3428755
web-Google,0.1521,0.1436,0.8909,0.5488,916428
web-Stanford,0.0792,0.0676,0.9431,0.0463,281903
cnr-2000,0.0738,0.0789,1.1244,0.0450,325557
cit-Patents,0.5811,0.6129,1.2308,0.7790,3774768
uk-2002,6.7569,6.9975,0.6185,0.9296,18520486
soc-LiveJournal1,2.2436,1.8218,1.0056,1.1490,4847571
