tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,256,2,2,2.00,0.00,0,256
1,256,2,2,2.00,0.00,256,512
2,256,2,2,2.00,0.00,512,768
3,256,2,2,2.00,0.00,768,1024
4,256,2,2,2.00,0.00,1024,1280
5,256,2,2,2.00,0.00,1280,1536
6,256,2,2,2.00,0.00,1536,1792
7,256,2,2,2.00,0.00,1792,2048
8,256,2,2,2.00,0.00,2048,2304
9,256,2,2,2.00,0.00,2304,2560
10,256,2,2,2.00,0.00,2560,2816
11,256,2,2,2.00,0.00,2816,3072
12,256,2,2,2.00,0.00,3072,3328
13,256,2,2,2.00,0.00,3328,3584
14,256,2,2,2.00,0.00,3584,3840
15,256,2,2,2.00,0.00,3840,4096
16,256,2,2,2.00,0.00,4096,4352
17,256,2,2,2.00,0.00,4352,4608
18,256,2,2,2.00,0.00,4608,4864
19,256,2,2,2.00,0.00,4864,5120
20,256,2,2,2.00,0.00,5120,5376
21,256,2,2,2.00,0.00,5376,5632
22,256,2,2,2.00,0.00,5632,5888
23,256,2,2,2.00,0.00,5888,6144
24,256,2,2,2.00,0.00,6144,6400
25,257,2,1,1.99,0.01,6400,6657
26,257,2,1,1.99,0.01,6656,6913
27,257,2,1,1.99,0.01,6912,7169
28,257,2,1,1.99,0.01,7168,7425
29,257,2,1,1.99,0.01,7424,7681
30,257,2,1,1.99,0.01,7680,7937
31,257,2,1,1.99,0.01,7936,8193
32,257,2,1,1.99,0.01,8192,8449
33,257,2,1,1.99,0.01,8448,8705
34,257,2,1,1.99,0.01,8704,8961
35,257,2,1,1.99,0.01,8960,9217
36,257,2,1,1.99,0.01,9216,9473
37,257,2,1,1.99,0.01,9472,9729
38,257,2,1,1.99,0.01,9728,9985
39,257,2,1,1.99,0.01,9984,10241
40,257,2,1,1.99,0.01,10240,10497
41,257,2,1,1.99,0.01,10496,10753
42,257,2,1,1.99,0.01,10752,11009
43,257,2,1,1.99,0.01,11008,11265
44,257,2,1,1.99,0.01,11264,11521
45,257,2,1,1.99,0.01,11520,11777
46,257,2,1,1.99,0.01,11776,12033
47,257,2,1,1.99,0.01,12032,12289
48,257,2,1,1.99,0.01,12288,12545
49,257,2,1,1.99,0.01,12544,12801
50,257,2,1,1.99,0.01,12800,13057
51,257,2,1,1.99,0.01,13056,13313
52,257,2,1,1.99,0.01,13312,13569
53,257,2,1,1.99,0.01,13568,13825
54,257,2,1,1.99,0.01,13824,14081
55,257,2,1,1.99,0.01,14080,14337
56,257,2,1,1.99,0.01,14336,14593
57,257,2,1,1.99,0.01,14592,14849
58,257,2,1,1.99,0.01,14848,15105
59,257,2,1,1.99,0.01,15104,15361
60,257,2,1,1.99,0.01,15360,15617
61,257,2,1,1.99,0.01,15616,15873
62,257,2,1,1.99,0.01,15872,16129
63,243,3,1,2.11,0.10,16128,16371
64,171,3,2,2.99,0.01,16371,16542
65,172,3,1,2.98,0.05,16541,16713
66,171,3,2,2.99,0.01,16712,16883
67,171,3,2,2.99,0.01,16883,17054
68,172,3,1,2.98,0.05,17053,17225
69,171,3,2,2.99,0.01,17224,17395
70,171,3,2,2.99,0.01,17395,17566
71,172,3,1,2.98,0.05,17565,17737
72,171,3,2,2.99,0.01,17736,17907
73,171,3,2,2.99,0.01,17907,18078
74,172,3,1,2.98,0.05,18077,18249
75,171,3,2,2.99,0.01,18248,18419
76,171,3,2,2.99,0.01,18419,18590
77,172,3,1,2.98,0.05,18589,18761
78,171,3,2,2.99,0.01,18760,18931
79,171,3,2,2.99,0.01,18931,19102
80,172,3,1,2.98,0.05,19101,19273
81,171,3,2,2.99,0.01,19272,19443
82,171,3,2,2.99,0.01,19443,19614
83,172,3,1,2.98,0.05,19613,19785
84,171,3,2,2.99,0.01,19784,19955
85,171,3,2,2.99,0.01,19955,20126
86,172,3,1,2.98,0.05,20125,20297
87,171,3,2,2.99,0.01,20296,20467
88,171,3,2,2.99,0.01,20467,20638
89,172,3,1,2.98,0.05,20637,20809
90,171,3,2,2.99,0.01,20808,20979
91,171,3,2,2.99,0.01,20979,21150
92,172,3,1,2.98,0.05,21149,21321
93,171,3,2,2.99,0.01,21320,21491
94,171,3,2,2.99,0.01,21491,21662
95,172,3,1,2.98,0.05,21661,21833
96,171,3,2,2.99,0.01,21832,22003
97,171,3,2,2.99,0.01,22003,22174
98,172,3,1,2.98,0.05,22173,22345
99,171,3,2,2.99,0.01,22344,22515
100,171,3,2,2.99,0.01,22515,22686
101,172,3,1,2.98,0.05,22685,22857
102,171,3,2,2.99,0.01,22856,23027
103,171,3,2,2.99,0.01,23027,23198
104,172,3,1,2.98,0.05,23197,23369
105,171,3,2,2.99,0.01,23368,23539
106,171,3,2,2.99,0.01,23539,23710
107,172,3,1,2.98,0.05,23709,23881
108,171,3,2,2.99,0.01,23880,24051
109,171,3,2,2.99,0.01,24051,24222
110,172,3,1,2.98,0.05,24221,24393
111,171,3,2,2.99,0.01,24392,24563
112,171,3,2,2.99,0.01,24563,24734
113,172,3,1,2.98,0.05,24733,24905
114,171,3,2,2.99,0.01,24904,25075
115,171,3,2,2.99,0.01,25075,25246
116,172,3,1,2.98,0.05,25245,25417
117,171,3,2,2.99,0.01,25416,25587
118,171,3,2,2.99,0.01,25587,25758
119,172,3,1,2.98,0.05,25757,25929
120,171,3,2,2.99,0.01,25928,26099
121,171,3,2,2.99,0.01,26099,26270
122,172,3,1,2.98,0.05,26269,26441
123,171,3,2,2.99,0.01,26440,26611
124,171,3,2,2.99,0.01,26611,26782
125,172,3,1,2.98,0.05,26781,26953
126,171,3,2,2.99,0.01,26952,27123
127,171,3,2,2.99,0.01,27123,27294
128,172,3,1,2.98,0.05,27293,27465
129,171,3,2,2.99,0.01,27464,27635
130,171,3,2,2.99,0.01,27635,27806
131,172,3,1,2.98,0.05,27805,27977
132,171,3,2,2.99,0.01,27976,28147
133,171,3,2,2.99,0.01,28147,28318
134,172,3,1,2.98,0.05,28317,28489
135,171,3,2,2.99,0.01,28488,28659
136,171,3,2,2.99,0.01,28659,28830
137,172,3,1,2.98,0.05,28829,29001
138,171,3,2,2.99,0.01,29000,29171
139,171,3,2,2.99,0.01,29171,29342
140,172,3,1,2.98,0.05,29341,29513
141,171,3,2,2.99,0.01,29512,29683
142,171,3,2,2.99,0.01,29683,29854
143,172,3,1,2.98,0.05,29853,30025
144,171,3,2,2.99,0.01,30024,30195
145,171,3,2,2.99,0.01,30195,30366
146,172,3,1,2.98,0.05,30365,30537
147,171,3,2,2.99,0.01,30536,30707
148,171,3,2,2.99,0.01,30707,30878
149,172,3,1,2.98,0.05,30877,31049
150,171,3,2,2.99,0.01,31048,31219
151,171,3,2,2.99,0.01,31219,31390
152,172,3,1,2.98,0.05,31389,31561
153,171,3,2,2.99,0.01,31560,31731
154,171,3,2,2.99,0.01,31731,31902
155,172,3,1,2.98,0.05,31901,32073
156,171,3,2,2.99,0.01,32072,32243
157,171,3,2,2.99,0.01,32243,32414
158,172,3,1,2.98,0.05,32413,32585
159,171,3,2,2.99,0.01,32584,32755
160,171,3,2,2.99,0.01,32755,32926
161,172,3,1,2.98,0.05,32925,33097
162,171,3,2,2.99,0.01,33096,33267
163,171,3,2,2.99,0.01,33267,33438
164,172,3,1,2.98,0.05,33437,33609
165,171,3,2,2.99,0.01,33608,33779
166,171,3,2,2.99,0.01,33779,33950
167,172,3,1,2.98,0.05,33949,34121
168,171,3,2,2.99,0.01,34120,34291
169,171,3,2,2.99,0.01,34291,34462
170,172,3,1,2.98,0.05,34461,34633
171,171,3,2,2.99,0.01,34632,34803
172,171,3,2,2.99,0.01,34803,34974
173,172,3,1,2.98,0.05,34973,35145
174,171,3,2,2.99,0.01,35144,35315
175,171,3,2,2.99,0.01,35315,35486
176,172,3,1,2.98,0.05,35485,35657
177,171,3,2,2.99,0.01,35656,35827
178,171,3,2,2.99,0.01,35827,35998
179,172,3,1,2.98,0.05,35997,36169
180,171,3,2,2.99,0.01,36168,36339
181,171,3,2,2.99,0.01,36339,36510
182,172,3,1,2.98,0.05,36509,36681
183,171,3,2,2.99,0.01,36680,36851
184,171,3,2,2.99,0.01,36851,37022
185,172,3,1,2.98,0.05,37021,37193
186,171,3,2,2.99,0.01,37192,37363
187,171,3,2,2.99,0.01,37363,37534
188,172,3,1,2.98,0.05,37533,37705
189,171,3,2,2.99,0.01,37704,37875
190,171,3,2,2.99,0.01,37875,38046
191,172,3,1,2.98,0.05,38045,38217
192,171,3,2,2.99,0.01,38216,38387
193,171,3,2,2.99,0.01,38387,38558
194,172,3,1,2.98,0.05,38557,38729
195,171,3,2,2.99,0.01,38728,38899
196,171,3,2,2.99,0.01,38899,39070
197,172,3,1,2.98,0.05,39069,39241
198,171,3,2,2.99,0.01,39240,39411
199,171,3,2,2.99,0.01,39411,39582
200,172,3,1,2.98,0.05,39581,39753
201,171,3,2,2.99,0.01,39752,39923
202,171,3,2,2.99,0.01,39923,40094
203,172,3,1,2.98,0.05,40093,40265
204,171,3,2,2.99,0.01,40264,40435
205,171,3,2,2.99,0.01,40435,40606
206,172,3,1,2.98,0.05,40605,40777
207,171,3,2,2.99,0.01,40776,40947
208,171,3,2,2.99,0.01,40947,41118
209,172,3,1,2.98,0.05,41117,41289
210,171,3,2,2.99,0.01,41288,41459
211,171,3,2,2.99,0.01,41459,41630
212,172,3,1,2.98,0.05,41629,41801
213,171,3,2,2.99,0.01,41800,41971
214,171,3,2,2.99,0.01,41971,42142
215,172,3,1,2.98,0.05,42141,42313
216,171,3,2,2.99,0.01,42312,42483
217,171,3,2,2.99,0.01,42483,42654
