tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,108,11,1,4.74,4.91,1654479,1654587
1,96,15,0,5.33,7.72,1654587,1654683
2,97,23,0,5.28,12.12,1654682,1654779
3,103,14,1,4.97,7.89,1654778,1654881
4,85,21,1,6.02,12.73,1654880,1654965
5,106,12,1,4.83,6.10,1654964,1655070
6,100,11,1,5.12,6.51,1655069,1655169
7,106,13,0,4.83,5.88,1655168,1655274
8,106,18,0,4.83,9.46,1655273,1655379
9,102,16,0,5.02,10.94,1655378,1655480
10,158,12,0,3.24,5.88,1655479,1655637
11,118,18,0,4.34,9.31,1655636,1655754
12,114,11,0,4.49,8.04,1655753,1655867
13,101,22,0,5.07,9.99,1655866,1655967
14,103,21,0,4.97,9.80,1655967,1656070
15,108,14,1,4.74,6.08,1656069,1656177
16,92,16,1,5.57,6.77,1656176,1656268
17,104,16,1,4.92,8.84,1656268,1656372
18,114,15,1,4.49,6.62,1656372,1656486
19,109,13,0,4.70,6.93,1656485,1656594
20,94,19,1,5.45,7.40,1656594,1656688
21,106,18,0,4.83,10.14,1656687,1656793
22,192,10,0,2.67,4.40,1656792,1656984
23,116,16,1,4.41,6.78,1656983,1657099
24,121,14,0,4.23,7.04,1657098,1657219
25,108,12,0,4.74,6.80,1657218,1657326
26,102,13,1,5.02,7.06,1657325,1657427
27,103,14,1,4.97,7.89,1657427,1657530
28,103,14,1,4.97,6.30,1657529,1657632
29,100,13,0,5.12,6.77,1657631,1657731
30,99,21,1,5.17,9.01,1657730,1657829
31,100,18,1,5.12,8.91,1657828,1657928
32,112,14,0,4.57,5.62,1657927,1658039
33,101,15,0,5.07,6.94,1658038,1658139
34,108,14,0,4.74,8.04,1658139,1658247
35,148,12,0,3.46,7.19,1658246,1658394
36,144,18,0,3.56,10.00,1658393,1658537
37,126,13,0,4.06,8.66,1658536,1658662
38,100,22,0,5.12,8.83,1658661,1658761
39,110,17,0,4.65,7.43,1658760,1658870
40,101,11,1,5.07,6.30,1658869,1658970
41,105,15,0,4.88,10.53,1658969,1659074
42,129,12,0,3.97,8.46,1659073,1659202
43,111,20,0,4.61,9.41,1659202,1659313
44,131,14,0,3.91,5.79,1659313,1659444
45,124,13,1,4.13,4.42,1659444,1659568
46,108,12,1,4.74,6.51,1659567,1659675
47,116,20,1,4.41,7.86,1659674,1659790
48,102,17,0,5.02,8.02,1659789,1659891
49,95,16,1,5.39,9.71,1659890,1659985
50,103,13,0,4.97,6.73,1659985,1660088
51,106,14,1,4.83,5.08,1660087,1660193
52,111,14,0,4.61,6.78,1660192,1660303
53,98,14,0,5.22,8.52,1660302,1660400
54,101,11,1,5.07,5.59,1660399,1660500
55,151,16,0,3.39,6.78,1660499,1660650
56,119,17,0,4.30,9.30,1660649,1660768
57,129,14,0,3.97,6.28,1660767,1660896
58,116,15,1,4.41,7.57,1660896,1661012
59,97,11,0,5.28,6.28,1661011,1661108
60,104,17,0,4.92,8.78,1661107,1661211
61,93,24,2,5.51,9.50,1661211,1661304
62,109,15,1,4.70,6.27,1661303,1661412
63,112,11,1,4.57,5.57,1661411,1661523
64,108,10,1,4.74,4.34,1661522,1661630
65,105,14,0,4.88,8.45,1661629,1661734
66,97,17,1,5.28,8.02,1661733,1661830
67,111,13,0,4.61,8.58,1661829,1661940
68,154,11,0,3.32,7.57,1661939,1662093
69,112,14,0,4.57,8.98,1662093,1662205
70,115,14,0,4.45,6.60,1662204,1662319
71,121,19,0,4.23,8.87,1662318,1662439
72,104,13,1,4.92,6.67,1662439,1662543
73,93,14,0,5.51,9.00,1662542,1662635
74,113,13,0,4.53,4.80,1662635,1662748
75,99,12,1,5.17,5.88,1662748,1662847
76,102,16,0,5.02,8.25,1662846,1662948
77,105,12,1,4.88,6.17,1662947,1663052
78,99,14,1,5.17,6.73,1663052,1663151
79,111,14,0,4.61,7.66,1663150,1663261
80,103,17,1,4.97,8.84,1663260,1663363
81,89,15,0,5.75,11.15,1663362,1663451
82,143,15,0,3.58,8.03,1663450,1663593
83,155,16,0,3.30,8.62,1663592,1663747
84,106,14,0,4.83,8.27,1663746,1663852
85,118,11,1,4.34,5.12,1663851,1663969
86,107,14,0,4.79,7.44,1663968,1664075
87,102,15,0,5.02,7.82,1664074,1664176
88,92,15,1,5.57,8.94,1664175,1664267
89,108,11,1,4.74,5.27,1664267,1664375
90,100,15,0,5.12,7.85,1664374,1664474
91,135,14,0,3.79,8.86,1664473,1664608
92,113,12,0,4.53,7.97,1664607,1664720
93,116,16,0,4.41,8.83,1664720,1664836
94,108,11,0,4.74,4.90,1664835,1664943
95,97,12,1,5.28,7.38,1664943,1665040
96,92,23,1,5.57,12.81,1665039,1665131
97,101,16,1,5.07,8.12,1665130,1665231
98,111,12,1,4.61,5.07,1665230,1665341
99,117,14,0,4.38,6.61,1665341,1665458
100,102,17,0,5.02,9.74,1665457,1665559
101,140,14,0,3.66,9.63,1665558,1665698
102,122,15,0,4.20,8.34,1665697,1665819
103,120,13,1,4.27,5.53,1665818,1665938
104,95,19,1,5.39,9.35,1665937,1666032
105,114,11,0,4.49,7.09,1666031,1666145
106,95,13,1,5.39,8.45,1666144,1666239
107,98,12,1,5.22,6.93,1666238,1666336
108,103,15,1,4.97,7.64,1666336,1666439
109,106,11,1,4.83,5.41,1666438,1666544
110,104,13,0,4.92,6.74,1666543,1666647
111,100,15,0,5.12,9.53,1666646,1666746
112,93,23,0,5.51,12.47,1666746,1666839
113,154,12,0,3.32,7.41,1666838,1666992
114,102,15,0,5.02,7.29,1666991,1667093
115,123,10,0,4.16,5.11,1667092,1667215
116,105,12,1,4.88,6.15,1667214,1667319
117,114,12,0,4.49,7.11,1667318,1667432
118,88,15,0,5.82,8.81,1667431,1667519
119,100,13,1,5.12,7.91,1667518,1667618
120,92,13,1,5.57,7.98,1667617,1667709
121,100,19,0,5.12,7.87,1667708,1667808
122,110,16,0,4.65,7.06,1667807,1667917
123,102,13,1,5.02,6.67,1667916,1668018
124,95,14,0,5.39,8.91,1668017,1668112
125,107,15,0,4.79,10.02,1668111,1668218
126,156,18,0,3.28,8.81,1668217,1668373
127,118,11,0,4.34,7.14,1668372,1668490
128,115,14,1,4.45,7.93,1668489,1668604
129,105,15,0,4.88,8.47,1668603,1668708
130,102,14,1,5.02,7.31,1668708,1668810
131,111,12,1,4.61,5.93,1668809,1668920
132,97,14,1,5.28,6.37,1668919,1669016
133,99,21,1,5.17,10.28,1669015,1669114
134,105,19,1,4.88,7.25,1669113,1669218
135,105,16,1,4.88,7.14,1669217,1669322
136,107,12,0,4.79,7.03,1669322,1669429
137,98,14,1,5.22,9.07,1669428,1669526
138,86,18,0,5.95,9.77,1669526,1669612
139,179,11,0,2.86,5.96,1669611,1669790
140,128,14,0,4.00,9.59,1669789,1669917
141,104,15,1,4.92,6.90,1669916,1670020
142,127,9,0,4.03,5.05,1670020,1670147
143,100,15,1,5.12,7.31,1670146,1670246
144,86,17,1,5.95,9.86,1670245,1670331
145,104,17,0,4.92,6.36,1670330,1670434
146,103,12,1,4.97,7.78,1670434,1670537
147,101,15,1,5.07,7.65,1670537,1670638
148,94,15,0,5.45,8.16,1670637,1670731
149,97,15,1,5.28,7.81,1670730,1670827
150,94,18,0,5.45,10.65,1670826,1670920
151,109,15,0,4.70,7.06,1670919,1671028
152,94,22,1,5.45,11.95,1671027,1671121
153,111,14,0,4.61,8.04,1671120,1671231
154,178,17,0,2.88,6.38,1671230,1671408
155,113,14,0,4.53,6.87,1671407,1671520
156,102,14,1,5.02,8.35,1671519,1671621
157,122,16,0,4.20,8.16,1671620,1671742
158,107,13,1,4.79,6.62,1671741,1671848
159,106,13,1,4.83,6.25,1671847,1671953
160,104,11,0,4.92,6.05,1671952,1672056
161,106,13,0,4.83,6.42,1672056,1672162
162,104,11,1,4.92,5.53,1672161,1672265
163,87,13,0,5.89,7.78,1672264,1672351
164,116,11,0,4.41,6.26,1672350,1672466
165,91,16,1,5.63,10.76,1672465,1672556
166,104,15,1,4.92,8.34,1672555,1672659
167,119,20,0,4.30,9.93,1672658,1672777
168,160,12,0,3.20,7.76,1672776,1672936
169,110,13,1,4.65,7.48,1672935,1673045
170,121,11,0,4.23,6.56,1673044,1673165
171,114,11,0,4.49,6.41,1673165,1673279
172,104,15,1,4.92,7.49,1673278,1673382
173,104,22,1,4.92,7.74,1673381,1673485
174,90,15,2,5.69,8.88,1673485,1673575
175,96,12,1,5.33,6.03,1673574,1673670
176,100,14,1,5.12,8.37,1673669,1673769
177,100,13,1,5.12,6.37,1673769,1673869
178,106,11,0,4.83,6.31,1673868,1673974
179,95,17,1,5.39,9.94,1673973,1674068
180,98,11,0,5.22,6.91,1674067,1674165
181,116,12,0,4.41,6.55,1674164,1674280
182,154,15,0,3.32,7.78,1674279,1674433
183,103,15,0,4.97,8.51,1674433,1674536
184,116,14,0,4.41,6.93,1674536,1674652
185,103,15,1,4.97,9.66,1674651,1674754
186,104,15,1,4.92,9.22,1674754,1674858
187,89,14,1,5.75,10.10,1674857,1674946
188,92,16,0,5.57,8.88,1674945,1675037
189,103,14,0,4.97,6.82,1675036,1675139
190,106,13,1,4.83,7.24,1675138,1675244
191,104,20,0,4.92,10.72,1675243,1675347
192,108,18,0,4.74,8.88,1675346,1675454
193,174,10,0,2.94,4.62,1675453,1675627
194,133,14,0,3.85,8.47,1675626,1675759
195,119,13,0,4.30,7.37,1675759,1675878
196,107,10,1,4.79,4.54,1675877,1675984
197,85,17,1,6.02,10.82,1675983,1676068
198,107,12,0,4.79,5.59,1676067,1676174
199,83,17,1,6.17,11.90,1676174,1676257
200,108,15,1,4.74,7.47,1676256,1676364
201,105,18,1,4.88,9.38,1676363,1676468
202,105,11,0,4.88,6.30,1676467,1676572
203,106,12,0,4.83,7.31,1676572,1676678
204,104,16,1,4.92,8.59,1676677,1676781
205,115,13,0,4.45,7.03,1676781,1676896
206,176,15,0,2.91,6.88,1676895,1677071
207,115,15,0,4.45,10.37,1677070,1677185
208,113,19,0,4.53,8.13,1677185,1677298
209,101,15,1,5.07,7.87,1677297,1677398
210,102,15,0,5.02,8.63,1677397,1677499
211,101,14,0,5.07,6.44,1677498,1677599
212,102,12,1,5.02,5.90,1677598,1677700
213,95,13,1,5.39,7.29,1677700,1677795
214,107,12,0,4.79,6.32,1677795,1677902
215,131,13,0,3.91,4.46,1677901,1678032
216,109,13,0,4.70,6.74,1678031,1678140
217,168,15,0,3.05,6.00,1678139,1678307
218,122,15,0,4.20,7.55,1678306,1678428
219,131,11,0,3.91,5.73,1678428,1678559
220,115,12,1,4.45,7.73,1678559,1678674
221,99,13,1,5.17,6.32,1678674,1678773
222,97,15,0,5.28,9.81,1678772,1678869
223,98,12,1,5.22,5.26,1678868,1678966
224,96,17,1,5.33,10.70,1678965,1679061
225,96,14,1,5.33,7.10,1679060,1679156
226,97,19,1,5.28,8.49,1679156,1679253
227,111,15,1,4.61,7.34,1679253,1679364
228,87,17,1,5.89,9.83,1679363,1679450
229,103,13,0,4.97,8.05,1679449,1679552
230,178,12,0,2.88,6.85,1679551,1679729
231,129,18,0,3.97,7.92,1679728,1679857
232,121,12,0,4.23,6.05,1679856,1679977
233,105,11,1,4.88,6.95,1679976,1680081
234,104,15,0,4.92,9.49,1680080,1680184
235,96,11,0,5.33,6.87,1680183,1680279
236,105,13,1,4.88,6.47,1680279,1680384
237,98,16,1,5.22,8.89,1680383,1680481
238,104,13,1,4.92,7.36,1680480,1680584
239,114,14,1,4.49,5.74,1680583,1680697
240,93,16,1,5.51,9.95,1680696,1680789
241,98,17,0,5.22,12.05,1680788,1680886
242,119,16,0,4.30,10.38,1680885,1681004
243,148,18,0,3.46,8.72,1681003,1681151
244,100,11,1,5.12,5.61,1681150,1681250
245,103,20,1,4.97,8.22,1681249,1681352
246,102,18,1,5.02,8.49,1681351,1681453
247,112,20,0,4.57,10.28,1681452,1681564
248,95,15,1,5.39,7.71,1681563,1681658
249,93,13,1,5.51,10.03,1681657,1681750
250,110,12,1,4.65,4.39,1681750,1681860
251,106,11,1,4.83,5.59,1681859,1681965
252,110,14,0,4.65,9.19,1681965,1682075
253,106,14,0,4.83,10.39,1682075,1682181
254,174,11,0,2.94,5.56,1682180,1682354
255,114,12,0,4.49,6.13,1682354,1682468
256,132,14,0,3.88,6.80,1682467,1682599
257,105,11,0,4.88,5.58,1682598,1682703
