tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,87,18,4,5.89,10.88,0,87
1,90,18,1,5.69,8.57,86,176
2,88,18,3,5.82,10.99,176,264
3,115,18,0,4.45,11.53,263,378
4,224,37,0,2.29,20.45,377,601
5,53,295,0,9.66,2051.96,600,653
6,18,296,0,28.44,5221.47,652,670
7,3,278,48,170.67,8934.22,669,672
8,7,284,0,73.14,13278.98,671,678
9,12,256,0,42.67,7847.39,677,689
10,3,283,40,170.67,10009.56,688,691
11,8,306,0,64.00,10092.25,690,698
12,3,264,123,170.67,4356.22,697,700
13,4,292,0,128.00,12334.00,699,703
14,5,273,0,102.40,13780.24,702,707
15,6,237,0,85.33,11358.56,706,712
16,4,277,0,128.00,13706.50,711,715
17,5,291,1,102.40,11591.44,714,719
18,80,233,0,6.40,696.34,718,798
19,58,38,0,8.83,180.83,797,855
20,137,35,0,3.74,56.31,854,991
21,200,22,0,2.56,14.58,990,1190
22,144,110,0,3.56,96.37,1189,1333
23,39,39,8,13.13,25.34,1332,1371
24,54,20,1,9.48,24.84,1371,1425
25,46,23,0,11.13,47.94,1424,1470
26,29,34,1,17.66,59.05,1469,1498
27,175,20,0,2.93,16.82,1497,1672
28,265,73,0,1.93,27.52,1672,1937
29,81,24,1,6.32,43.06,1936,2017
30,31,27,0,16.52,74.83,2016,2047
31,35,29,0,14.63,117.55,2046,2081
32,50,110,0,10.24,299.30,2080,2130
33,279,33,0,1.84,17.05,2129,2408
34,115,25,0,4.45,14.40,2407,2522
35,41,217,2,12.49,2026.05,2521,2562
36,244,26,0,2.10,2.87,2562,2806
37,147,216,0,3.48,309.71,2806,2953
38,173,33,0,2.96,27.07,2952,3125
39,201,35,0,2.55,19.91,3125,3326
40,83,26,0,6.17,33.83,3325,3408
41,82,21,0,6.24,31.23,3407,3489
42,29,21,1,17.66,11.05,3488,3517
43,25,44,3,20.48,61.13,3516,3541
44,26,46,8,19.69,46.44,3540,3566
45,60,22,0,8.53,69.45,3565,3625
46,62,344,0,8.26,1975.71,3624,3686
47,7,303,0,73.14,9746.98,3685,3692
48,12,63,12,42.67,155.22,3691,3703
49,14,62,1,36.57,311.53,3702,3716
50,20,53,1,25.60,101.74,3715,3735
51,23,43,0,22.26,113.67,3734,3757
52,30,33,1,17.07,144.46,3756,3786
53,23,37,1,22.26,90.54,3786,3809
54,19,41,9,26.95,32.26,3808,3827
55,21,30,3,24.38,44.81,3826,3847
56,140,50,0,3.66,83.67,3846,3986
57,108,55,0,4.74,117.49,3985,4093
58,212,54,0,2.42,42.30,4092,4304
59,142,24,0,3.61,19.99,4304,4446
60,127,30,0,4.03,35.20,4445,4572
61,95,18,0,5.39,12.89,4571,4666
62,80,18,1,6.40,7.34,4665,4745
63,121,24,0,4.23,17.91,4744,4865
64,200,40,0,2.56,27.05,4865,5065
65,231,42,0,2.22,33.75,5065,5296
66,215,42,0,2.38,24.38,5295,5510
67,252,28,0,2.03,13.68,5509,5761
68,105,27,0,4.88,16.18,5761,5866
69,161,27,0,3.18,12.89,5865,6026
70,191,19,0,2.68,11.32,6026,6217
71,173,20,0,2.96,11.51,6217,6390
72,87,56,0,5.89,64.52,6389,6476
73,74,56,1,6.92,67.80,6476,6550
74,65,56,2,7.88,102.69,6549,6614
75,64,56,4,8.00,80.94,6613,6677
76,65,56,4,7.88,93.77,6676,6741
77,96,56,0,5.33,57.91,6740,6836
78,18,34,8,28.44,32.69,6835,6853
79,104,40,0,4.92,91.26,6853,6957
80,215,26,0,2.38,13.96,6956,7171
81,55,23,0,9.31,28.61,7170,7225
82,55,30,0,9.31,77.89,7224,7279
83,58,26,0,8.83,109.21,7278,7336
84,85,12,0,6.02,23.74,7336,7421
85,50,12,1,10.24,8.78,7420,7470
86,47,12,6,10.89,0.90,7469,7516
87,48,12,2,10.67,2.93,7515,7563
88,30,156,8,17.07,680.00,7562,7592
89,35,141,5,14.63,470.80,7591,7626
90,45,13,6,11.38,0.99,7625,7670
91,45,12,6,11.38,0.90,7670,7715
92,47,17,2,10.89,3.92,7714,7761
93,45,102,1,11.38,200.46,7760,7805
94,50,16,0,10.24,11.86,7804,7854
95,51,16,0,10.04,12.86,7853,7904
96,48,18,1,10.67,13.14,7903,7951
97,58,30,1,8.83,30.59,7950,8008
98,82,52,0,6.24,68.45,8007,8089
99,148,35,0,3.46,41.75,8088,8236
100,94,64,1,5.45,78.12,8235,8329
101,88,64,1,5.82,80.10,8328,8416
102,185,29,0,2.77,13.08,8416,8601
103,120,17,1,4.27,11.85,8600,8720
104,60,18,0,8.53,39.25,8719,8779
105,61,23,0,8.39,25.45,8778,8839
106,42,49,2,12.19,51.11,8838,8880
107,152,38,0,3.37,16.38,8879,9031
108,163,39,0,3.14,16.78,9030,9193
109,179,35,0,2.86,17.08,9192,9371
110,76,108,1,6.74,148.59,9370,9446
111,108,28,0,4.74,66.77,9445,9553
112,114,39,0,4.49,115.04,9552,9666
113,59,238,0,8.68,994.96,9665,9724
114,1,512,512,512.00,0.00,9723,9724
115,2,412,100,256.00,24336.00,9723,9725
116,1,512,512,512.00,0.00,9724,9725
117,1,512,512,512.00,0.00,9724,9725
118,2,475,37,256.00,47961.00,9724,9726
119,1,512,512,512.00,0.00,9725,9726
120,2,338,174,256.00,6724.00,9725,9727
121,1,512,512,512.00,0.00,9726,9727
122,2,311,201,256.00,3025.00,9726,9728
123,1,512,512,512.00,0.00,9727,9728
124,2,448,64,256.00,36864.00,9727,9729
125,1,512,512,512.00,0.00,9728,9729
126,1,512,512,512.00,0.00,9728,9729
127,151,73,0,3.39,110.29,9728,9879
128,123,47,0,4.16,99.50,9878,10001
129,97,46,0,5.28,146.18,10000,10097
130,97,36,0,5.28,130.63,10096,10193
131,108,41,0,4.74,104.27,10192,10300
