tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,6,109,13,85.33,1095.56,0,6
1,4,199,40,128.00,3277.50,5,9
2,15,168,24,34.13,1280.92,8,23
3,6,126,12,85.33,1651.56,22,28
4,4,196,70,128.00,2209.50,27,31
5,3,231,77,170.67,4508.22,30,33
6,14,167,24,36.57,1380.39,32,46
7,1,512,512,512.00,0.00,45,46
8,2,424,88,256.00,28224.00,45,47
9,1,512,512,512.00,0.00,46,47
10,2,354,158,256.00,9604.00,46,48
11,2,365,147,256.00,11881.00,47,49
12,1,512,512,512.00,0.00,48,49
13,1,512,512,512.00,0.00,48,49
14,2,381,131,256.00,15625.00,48,50
15,1,512,512,512.00,0.00,49,50
16,1,512,512,512.00,0.00,49,50
17,1,512,512,512.00,0.00,49,50
18,2,425,87,256.00,28561.00,49,51
19,1,512,512,512.00,0.00,50,51
20,2,342,170,256.00,7396.00,50,52
21,1,512,512,512.00,0.00,51,52
22,1,512,512,512.00,0.00,51,52
23,2,450,62,256.00,37636.00,51,53
24,1,512,512,512.00,0.00,52,53
25,2,412,100,256.00,24336.00,52,54
26,1,512,512,512.00,0.00,53,54
27,2,505,7,256.00,62001.00,53,55
28,1,512,512,512.00,0.00,54,55
29,2,307,205,256.00,2601.00,54,56
30,2,310,202,256.00,2916.00,55,57
31,6,196,12,85.33,5631.56,56,62
32,1,512,512,512.00,0.00,61,62
33,1,512,512,512.00,0.00,61,62
34,3,210,106,170.67,2123.56,61,64
35,2,288,224,256.00,1024.00,63,65
36,1,512,512,512.00,0.00,64,65
37,1,512,512,512.00,0.00,64,65
38,1,512,512,512.00,0.00,64,65
39,2,338,174,256.00,6724.00,64,66
40,1,512,512,512.00,0.00,65,66
41,1,512,512,512.00,0.00,65,66
42,2,473,39,256.00,47089.00,65,67
43,1,512,512,512.00,0.00,66,67
44,1,512,512,512.00,0.00,66,67
45,1,512,512,512.00,0.00,66,67
46,2,485,27,256.00,52441.00,66,68
47,1,512,512,512.00,0.00,67,68
48,2,308,204,256.00,2704.00,67,69
49,1,512,512,512.00,0.00,68,69
50,1,512,512,512.00,0.00,68,69
51,1,512,512,512.00,0.00,68,69
52,2,343,169,256.00,7569.00,68,70
53,1,512,512,512.00,0.00,69,70
54,1,512,512,512.00,0.00,69,70
55,2,401,111,256.00,21025.00,69,71
56,1,512,512,512.00,0.00,70,71
57,1,512,512,512.00,0.00,70,71
58,1,512,512,512.00,0.00,70,71
59,1,512,512,512.00,0.00,70,71
60,2,314,198,256.00,3364.00,70,72
61,2,276,236,256.00,400.00,71,73
62,2,311,201,256.00,3025.00,72,74
63,1,512,512,512.00,0.00,73,74
64,1,512,512,512.00,0.00,73,74
65,2,494,18,256.00,56644.00,73,75
66,1,512,512,512.00,0.00,74,75
67,1,512,512,512.00,0.00,74,75
68,2,356,156,256.00,10000.00,74,76
69,1,512,512,512.00,0.00,75,76
70,1,512,512,512.00,0.00,75,76
71,1,512,512,512.00,0.00,75,76
72,1,512,512,512.00,0.00,75,76
73,2,457,55,256.00,40401.00,75,77
74,1,512,512,512.00,0.00,76,77
75,2,312,200,256.00,3136.00,76,78
76,1,512,512,512.00,0.00,77,78
77,1,512,512,512.00,0.00,77,78
78,1,512,512,512.00,0.00,77,78
79,1,512,512,512.00,0.00,77,78
80,2,345,167,256.00,7921.00,77,79
81,1,512,512,512.00,0.00,78,79
82,2,300,212,256.00,1936.00,78,80
83,2,462,50,256.00,42436.00,79,81
84,1,512,512,512.00,0.00,80,81
85,1,512,512,512.00,0.00,80,81
86,2,330,182,256.00,5476.00,80,82
87,1,512,512,512.00,0.00,81,82
88,2,274,238,256.00,324.00,81,83
89,1,512,512,512.00,0.00,82,83
90,1,512,512,512.00,0.00,82,83
91,2,446,66,256.00,36100.00,82,84
92,2,480,32,256.00,50176.00,83,85
93,1,512,512,512.00,0.00,84,85
94,1,512,512,512.00,0.00,84,85
95,1,512,512,512.00,0.00,84,85
96,2,376,136,256.00,14400.00,84,86
97,1,512,512,512.00,0.00,85,86
98,1,512,512,512.00,0.00,85,86
99,2,267,245,256.00,121.00,85,87
100,1,512,512,512.00,0.00,86,87
101,2,369,143,256.00,12769.00,86,88
102,2,501,11,256.00,60025.00,87,89
103,2,380,132,256.00,15376.00,88,90
104,1,512,512,512.00,0.00,89,90
105,1,512,512,512.00,0.00,89,90
106,1,512,512,512.00,0.00,89,90
107,1,512,512,512.00,0.00,89,90
108,1,512,512,512.00,0.00,89,90
109,1,512,512,512.00,0.00,89,90
110,2,481,31,256.00,50625.00,89,91
111,2,502,10,256.00,60516.00,90,92
112,1,512,512,512.00,0.00,91,92
113,1,512,512,512.00,0.00,91,92
114,3,302,67,170.67,9586.89,91,94
115,1,512,512,512.00,0.00,93,94
116,1,512,512,512.00,0.00,93,94
117,1,512,512,512.00,0.00,93,94
118,1,512,512,512.00,0.00,93,94
119,2,290,222,256.00,1156.00,93,95
120,1,512,512,512.00,0.00,94,95
121,2,338,174,256.00,6724.00,94,96
122,1,512,512,512.00,0.00,95,96
123,2,344,168,256.00,7744.00,95,97
124,1,512,512,512.00,0.00,96,97
125,1,512,512,512.00,0.00,96,97
126,2,358,154,256.00,10404.00,96,98
127,1,512,512,512.00,0.00,97,98
128,1,512,512,512.00,0.00,97,98
129,2,416,96,256.00,25600.00,97,99
130,1,512,512,512.00,0.00,98,99
131,1,512,512,512.00,0.00,98,99
132,1,512,512,512.00,0.00,98,99
133,2,388,124,256.00,17424.00,98,100
134,2,399,113,256.00,20449.00,99,101
135,1,512,512,512.00,0.00,100,101
136,2,415,97,256.00,25281.00,100,102
137,1,512,512,512.00,0.00,101,102
138,1,512,512,512.00,0.00,101,102
139,1,512,512,512.00,0.00,101,102
140,2,508,4,256.00,63504.00,101,103
141,1,512,512,512.00,0.00,102,103
142,1,512,512,512.00,0.00,102,103
143,1,512,512,512.00,0.00,102,103
144,1,512,512,512.00,0.00,102,103
145,2,375,137,256.00,14161.00,102,104
146,2,473,39,256.00,47089.00,103,105
147,1,512,512,512.00,0.00,104,105
148,1,512,512,512.00,0.00,104,105
149,2,501,11,256.00,60025.00,104,106
150,1,512,512,512.00,0.00,105,106
151,2,353,159,256.00,9409.00,105,107
152,2,477,35,256.00,48841.00,106,108
153,1,512,512,512.00,0.00,107,108
154,1,512,512,512.00,0.00,107,108
155,2,350,162,256.00,8836.00,107,109
156,1,512,512,512.00,0.00,108,109
157,2,279,233,256.00,529.00,108,110
158,2,330,182,256.00,5476.00,109,111
159,1,512,512,512.00,0.00,110,111
160,2,314,198,256.00,3364.00,110,112
161,2,352,160,256.00,9216.00,111,113
162,1,512,512,512.00,0.00,112,113
163,2,302,210,256.00,2116.00,112,114
164,1,512,512,512.00,0.00,113,114
165,1,512,512,512.00,0.00,113,114
166,2,341,171,256.00,7225.00,113,115
167,2,281,231,256.00,625.00,114,116
168,1,512,512,512.00,0.00,115,116
169,2,502,10,256.00,60516.00,115,117
170,1,512,512,512.00,0.00,116,117
171,1,512,512,512.00,0.00,116,117
172,2,343,169,256.00,7569.00,116,118
173,1,512,512,512.00,0.00,117,118
174,2,377,135,256.00,14641.00,117,119
175,1,512,512,512.00,0.00,118,119
176,1,512,512,512.00,0.00,118,119
177,1,512,512,512.00,0.00,118,119
178,2,308,204,256.00,2704.00,118,120
179,1,512,512,512.00,0.00,119,120
180,1,512,512,512.00,0.00,119,120
181,1,512,512,512.00,0.00,119,120
182,2,421,91,256.00,27225.00,119,121
183,1,512,512,512.00,0.00,120,121
184,1,512,512,512.00,0.00,120,121
185,2,401,111,256.00,21025.00,120,122
186,1,512,512,512.00,0.00,121,122
187,1,512,512,512.00,0.00,121,122
188,1,512,512,512.00,0.00,121,122
189,2,496,16,256.00,57600.00,121,123
190,1,512,512,512.00,0.00,122,123
