tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,11,70,13,46.55,330.07,0,11
1,10,70,5,51.20,358.96,10,20
2,10,65,2,51.20,288.96,19,29
3,9,70,40,56.89,59.21,28,37
4,13,60,13,39.38,317.78,36,49
5,17,40,21,30.12,36.93,48,65
6,12,65,9,42.67,278.22,64,76
7,10,80,16,51.20,386.16,75,85
8,10,63,34,51.20,63.56,84,94
9,9,85,7,56.89,416.32,93,102
10,9,70,40,56.89,84.10,102,111
11,12,60,3,42.67,222.06,110,122
12,10,70,26,51.20,122.76,121,131
13,11,60,13,46.55,258.98,130,141
14,11,60,20,46.55,107.52,140,151
15,10,65,12,51.20,247.96,150,160
16,10,70,14,51.20,252.56,159,169
17,11,55,31,46.55,54.61,168,179
18,11,60,34,46.55,58.98,178,189
19,10,70,12,51.20,242.96,188,198
20,10,65,22,51.20,116.96,198,208
21,9,75,39,56.89,94.77,207,216
22,10,65,11,51.20,210.76,215,225
23,12,50,14,42.67,152.06,224,236
24,9,75,27,56.89,241.88,235,244
25,10,60,40,51.20,69.96,244,254
26,10,70,23,51.20,173.56,253,263
27,9,70,21,56.89,204.99,262,271
28,11,70,4,46.55,258.98,270,281
29,11,70,12,46.55,269.34,280,291
30,10,75,25,51.20,159.96,290,300
31,10,75,13,51.20,288.56,299,309
32,10,60,31,51.20,72.76,308,318
33,11,60,19,46.55,120.79,317,328
34,11,60,12,46.55,173.88,327,338
35,11,60,32,46.55,76.61,338,349
36,12,55,3,42.67,196.22,348,360
37,11,65,11,46.55,248.25,359,370
38,11,60,3,46.55,222.61,369,380
39,11,55,30,46.55,47.52,379,390
40,10,70,20,51.20,190.96,389,399
41,12,65,19,42.67,145.39,398,410
42,11,55,40,46.55,39.16,409,420
43,10,80,9,51.20,300.56,419,429
44,10,65,7,51.20,245.96,428,438
45,12,55,5,42.67,245.72,437,449
46,11,65,34,46.55,88.98,448,459
47,11,70,16,46.55,257.34,458,469
48,11,60,4,46.55,272.61,468,479
49,11,65,7,46.55,344.79,478,489
50,10,65,37,51.20,52.96,488,498
51,10,65,18,51.20,154.56,497,507
52,12,65,1,42.67,327.22,506,518
53,11,65,13,46.55,178.98,517,528
54,11,65,27,46.55,129.34,527,538
55,11,60,25,46.55,101.16,537,548
56,11,65,8,46.55,192.61,547,558
57,11,65,16,46.55,230.07,557,568
58,11,75,3,46.55,277.16,567,578
59,9,62,50,56.89,12.99,577,586
60,9,72,20,56.89,200.77,586,595
61,9,70,32,56.89,138.54,594,603
62,10,70,38,51.20,71.56,602,612
63,10,85,11,51.20,448.76,611,621
64,10,65,8,51.20,275.56,620,630
65,9,70,50,56.89,44.10,629,638
66,9,80,17,56.89,304.10,638,647
67,10,70,14,51.20,262.56,646,656
68,10,70,26,51.20,114.76,655,665
69,11,63,19,46.55,136.25,664,675
70,12,70,6,42.67,351.72,674,686
71,10,65,40,51.20,62.56,685,695
72,11,70,2,46.55,315.70,694,705
73,10,70,18,51.20,320.56,704,714
74,11,55,37,46.55,32.98,713,724
75,10,70,10,51.20,323.96,723,733
76,11,62,7,46.55,222.79,732,743
77,10,70,9,51.20,298.56,742,752
78,11,55,31,46.55,46.43,751,762
79,11,70,23,46.55,134.43,761,772
80,9,75,25,56.89,169.65,771,780
81,11,60,2,46.55,288.43,779,790
82,10,70,29,51.20,118.56,789,799
83,11,70,1,46.55,364.61,798,809
84,11,60,8,46.55,178.98,808,819
85,10,70,30,51.20,185.96,818,828
86,11,75,2,46.55,420.25,827,838
87,10,75,35,51.20,102.56,837,847
88,11,65,21,46.55,222.79,846,857
89,11,75,18,46.55,224.43,856,867
90,10,60,32,51.20,60.96,866,876
91,11,60,5,46.55,205.70,875,886
92,11,65,9,46.55,295.34,885,896
93,10,65,11,51.20,220.76,895,905
94,10,65,34,51.20,141.56,904,914
95,11,75,5,46.55,414.79,913,924
96,10,60,45,51.20,23.96,923,933
97,11,70,10,46.55,301.70,932,943
98,9,75,45,56.89,72.99,942,951
99,10,65,23,51.20,127.36,950,960
100,10,75,7,51.20,407.16,959,969
101,11,60,3,46.55,283.52,968,979
102,9,85,10,56.89,364.10,978,987
103,15,70,22,34.13,138.12,986,1001
104,11,64,27,46.55,162.98,1000,1011
105,11,76,12,46.55,356.98,1010,1021
106,12,60,12,42.67,160.06,1020,1032
107,11,75,26,46.55,170.07,1031,1042
108,11,65,15,46.55,255.52,1041,1052
109,11,70,21,46.55,188.25,1051,1062
110,12,65,2,42.67,359.06,1061,1073
111,12,70,12,42.67,233.22,1072,1084
112,9,80,14,56.89,351.43,1083,1092
113,9,75,16,56.89,304.99,1091,1100
114,9,85,13,56.89,413.65,1099,1108
115,10,85,37,51.20,182.96,1107,1117
116,11,65,20,46.55,186.61,1116,1127
117,11,65,14,46.55,220.79,1126,1137
118,11,70,11,46.55,229.16,1136,1147
119,11,65,28,46.55,150.79,1146,1157
120,10,75,17,51.20,264.96,1156,1166
121,9,80,10,56.89,486.32,1165,1174
122,8,75,55,64.00,40.25,1173,1181
123,9,80,11,56.89,493.88,1180,1189
