tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,80,22,0,6.40,34.37,0,80
1,77,24,0,6.65,36.57,79,156
2,86,26,0,5.95,32.84,155,241
3,103,32,0,4.97,32.51,240,343
4,94,20,0,5.45,27.42,342,436
5,105,20,0,4.88,22.89,436,541
6,93,53,0,5.51,54.12,540,633
7,102,29,0,5.02,39.35,632,734
8,105,33,0,4.88,39.14,733,838
9,107,24,0,4.79,25.50,837,944
10,101,27,0,5.07,25.63,943,1044
11,111,37,0,4.61,33.53,1043,1154
12,88,26,0,5.82,30.63,1153,1241
13,101,26,0,5.07,36.60,1240,1341
14,92,20,0,5.57,28.48,1340,1432
15,91,23,0,5.63,37.27,1431,1522
16,82,35,0,6.24,36.11,1521,1603
17,80,31,0,6.40,39.67,1602,1682
18,65,36,0,7.88,49.74,1681,1746
19,111,19,0,4.61,23.66,1745,1856
20,102,24,0,5.02,39.45,1855,1957
21,89,26,0,5.75,32.01,1956,2045
22,103,24,0,4.97,33.19,2044,2147
23,98,28,0,5.22,28.83,2146,2244
24,97,30,0,5.28,36.37,2244,2341
25,73,39,0,7.01,49.08,2340,2413
26,97,31,0,5.28,41.97,2413,2510
27,95,20,0,5.39,31.61,2509,2604
28,103,42,0,4.97,42.98,2603,2706
29,92,30,0,5.57,35.66,2705,2797
30,98,22,0,5.22,34.21,2796,2894
31,97,21,0,5.28,34.28,2893,2990
32,72,62,0,7.11,84.82,2989,3061
33,102,22,0,5.02,31.74,3060,3162
34,91,21,0,5.63,31.31,3161,3252
35,81,34,0,6.32,45.77,3251,3332
36,79,54,0,6.48,57.77,3331,3410
37,93,21,0,5.51,27.33,3410,3503
38,98,29,0,5.22,35.34,3502,3600
39,80,23,0,6.40,28.54,3599,3679
40,80,21,0,6.40,44.22,3678,3758
41,107,25,0,4.79,28.73,3757,3864
42,92,43,0,5.57,47.33,3863,3955
43,86,26,0,5.95,34.11,3954,4040
44,95,21,0,5.39,27.25,4039,4134
45,93,24,0,5.51,28.27,4133,4226
46,114,35,0,4.49,33.13,4225,4339
47,94,58,0,5.45,63.40,4338,4432
48,93,24,0,5.51,30.74,4431,4524
49,103,22,0,4.97,26.69,4523,4626
50,78,32,0,6.56,49.81,4625,4703
51,105,27,0,4.88,24.11,4703,4808
52,90,34,0,5.69,51.21,4807,4897
53,118,20,0,4.34,27.09,4896,5014
54,101,21,0,5.07,30.20,5014,5115
55,124,22,0,4.13,24.52,5115,5239
56,89,26,0,5.75,38.95,5239,5328
57,89,32,0,5.75,40.50,5327,5416
58,84,20,0,6.10,30.75,5415,5499
59,74,38,0,6.92,49.43,5498,5572
60,92,21,0,5.57,30.31,5571,5663
61,114,20,0,4.49,23.57,5662,5776
62,91,37,0,5.63,42.78,5775,5866
63,112,30,0,4.57,30.67,5865,5977
64,92,59,0,5.57,67.55,5976,6068
65,85,27,0,6.02,41.51,6068,6153
66,88,35,0,5.82,46.24,6152,6240
67,82,23,0,6.24,39.36,6239,6321
68,74,28,0,6.92,51.37,6320,6394
69,108,23,0,4.74,30.27,6393,6501
70,91,19,0,5.63,31.62,6501,6592
71,100,29,0,5.12,32.17,6591,6691
72,111,27,0,4.61,25.64,6690,6801
73,115,16,0,4.45,18.65,6800,6915
