tile_id,n_reduce_rows_num,max_row_length,min_row_length,avg_row_length,variance,start_row,end_row
0,72,46,1,7.11,79.96,0,72
1,71,48,1,7.21,78.34,71,142
2,34,86,2,15.06,379.17,141,175
3,71,36,1,7.21,55.66,174,245
4,51,95,0,10.04,233.68,244,295
5,55,60,1,9.31,149.78,294,349
6,71,36,1,7.21,59.63,348,419
7,66,57,1,7.76,74.70,418,484
8,68,45,1,7.53,76.19,483,551
9,58,45,1,8.83,95.83,550,608
10,53,72,1,9.66,143.58,607,660
11,80,36,1,6.40,49.47,659,739
12,82,35,1,6.24,46.99,739,821
13,58,101,1,8.83,204.80,820,878
14,58,99,1,8.83,197.87,877,935
15,55,122,1,9.31,271.67,934,989
16,73,55,1,7.01,71.68,988,1061
17,70,62,1,7.31,85.02,1060,1130
18,75,36,1,6.83,41.05,1129,1204
19,62,52,1,8.26,147.58,1203,1265
20,51,99,1,10.04,252.55,1264,1315
21,61,36,1,8.39,79.29,1314,1375
22,57,47,1,8.98,82.79,1375,1432
23,64,36,1,8.00,77.12,1431,1495
24,61,53,1,8.39,110.47,1495,1556
25,50,80,1,10.24,203.02,1555,1605
26,75,36,1,6.83,37.61,1604,1679
27,68,38,1,7.53,69.75,1678,1746
28,81,44,1,6.32,50.37,1745,1826
29,73,33,1,7.01,43.49,1826,1899
30,75,36,0,6.83,57.10,1898,1973
31,63,47,1,8.13,77.70,1972,2035
32,62,96,1,8.26,209.55,2034,2096
33,78,39,1,6.56,36.48,2095,2173
34,60,35,1,8.53,63.28,2173,2233
35,66,55,1,7.76,94.97,2232,2298
36,46,149,1,11.13,496.98,2297,2343
37,49,44,1,10.45,134.74,2342,2391
38,48,89,1,10.67,326.18,2390,2438
39,63,79,1,8.13,125.86,2437,2500
40,65,44,1,7.88,59.62,2499,2564
41,67,36,1,7.64,61.90,2563,2630
42,40,211,1,12.80,1147.31,2629,2669
43,68,36,1,7.53,61.40,2668,2736
44,63,50,1,8.13,112.43,2736,2799
45,53,103,1,9.66,270.49,2799,2852
46,61,43,1,8.39,93.78,2851,2912
47,49,55,1,10.45,161.31,2911,2960
48,61,60,1,8.39,108.66,2959,3020
49,80,34,1,6.40,41.59,3019,3099
50,55,64,1,9.31,177.12,3098,3153
51,55,77,0,9.31,140.87,3152,3207
52,74,36,1,6.92,51.02,3206,3280
53,59,70,1,8.68,144.96,3279,3338
54,86,32,1,5.95,36.28,3337,3423
55,58,44,1,8.83,101.69,3422,3480
56,69,46,1,7.42,67.29,3479,3548
57,51,62,1,10.04,157.65,3548,3599
58,80,36,1,6.40,48.52,3598,3678
59,75,35,1,6.83,42.28,3677,3752
60,61,39,1,8.39,79.22,3751,3812
61,46,104,1,11.13,289.81,3811,3857
62,83,36,1,6.17,32.53,3856,3939
63,65,45,1,7.88,80.97,3938,4003
64,63,47,1,8.13,74.40,4002,4065
65,51,74,1,10.04,168.19,4064,4115
66,54,55,1,9.48,114.58,4114,4168
67,67,56,1,7.64,82.17,4167,4234
68,64,36,1,8.00,74.94,4233,4297
69,69,61,1,7.42,97.63,4296,4365
70,80,31,1,6.40,41.92,4364,4444
71,60,49,0,8.53,109.12,4443,4503
72,58,54,1,8.83,106.69,4502,4560
73,52,84,1,9.85,184.28,4559,4611
74,76,56,1,6.74,63.48,4610,4686
75,33,99,1,15.52,525.04,4685,4718
76,67,36,1,7.64,69.81,4717,4784
77,52,88,1,9.85,196.55,4783,4835
78,64,36,1,8.00,78.34,4834,4898
79,68,36,1,7.53,60.78,4897,4965
80,70,37,1,7.31,76.73,4964,5034
81,68,45,1,7.53,87.75,5033,5101
82,77,51,0,6.65,54.33,5100,5177
83,67,35,1,7.64,62.38,5176,5243
84,63,49,2,8.13,85.79,5242,5305
85,62,36,1,8.26,78.32,5304,5366
86,68,36,1,7.53,63.98,5365,5433
87,58,98,1,8.83,306.38,5432,5490
88,65,36,1,7.88,58.63,5489,5554
89,72,36,1,7.11,51.74,5553,5625
90,74,36,1,6.92,41.83,5624,5698
91,53,125,1,9.66,326.45,5697,5750
92,57,130,1,8.98,323.77,5749,5806
93,66,36,1,7.76,70.88,5805,5871
94,51,134,1,10.04,478.27,5870,5921
95,61,36,1,8.39,90.30,5920,5981
96,77,52,1,6.65,74.62,5980,6057
97,75,64,1,6.83,91.16,6056,6131
98,70,38,1,7.31,66.76,6130,6200
99,83,38,1,6.17,53.54,6199,6282
100,43,132,1,11.91,485.43,6281,6324
101,62,50,1,8.26,75.77,6323,6385
102,84,35,1,6.10,49.66,6384,6468
103,75,47,1,6.83,50.46,6467,6542
104,48,43,1,10.67,148.72,6542,6590
105,78,37,1,6.56,54.17,6589,6667
106,52,88,1,9.85,216.51,6666,6718
107,67,46,1,7.64,76.02,6717,6784
108,57,53,1,8.98,118.86,6783,6840
109,60,55,1,8.53,111.08,6839,6899
110,57,60,1,8.98,134.72,6898,6955
111,63,49,0,8.13,101.13,6954,7017
112,61,36,1,8.39,69.22,7016,7077
113,59,58,1,8.68,113.95,7076,7135
114,63,39,1,8.13,71.54,7134,7197
115,68,35,1,7.53,49.16,7196,7264
116,56,62,1,9.14,139.77,7263,7319
117,64,100,1,8.00,182.94,7318,7382
118,59,75,1,8.68,160.59,7381,7440
119,63,60,1,8.13,113.92,7439,7502
120,63,41,1,8.13,73.32,7501,7564
121,78,60,1,6.56,63.71,7563,7641
122,61,51,1,8.39,93.58,7640,7701
123,79,42,1,6.48,48.02,7700,7779
124,66,61,0,7.76,140.06,7778,7844
125,52,95,1,9.85,242.78,7843,7895
126,55,152,1,9.31,437.12,7894,7949
127,62,65,1,8.26,129.45,7948,8010
128,62,45,1,8.26,97.45,8009,8071
129,59,52,1,8.68,128.29,8070,8129
130,59,70,1,8.68,120.46,8128,8187
131,58,35,1,8.83,63.83,8186,8244
132,76,33,1,6.74,35.85,8243,8319
133,60,62,1,8.53,97.85,8318,8378
134,57,60,1,8.98,108.19,8377,8434
135,61,46,1,8.39,88.07,8433,8494
136,59,44,1,8.68,106.52,8493,8552
137,70,37,1,7.31,70.73,8551,8621
138,44,97,1,11.64,340.91,8620,8664
139,56,104,1,9.14,269.37,8663,8719
140,68,61,1,7.53,99.51,8718,8786
141,45,110,1,11.38,380.19,8786,8831
142,66,44,1,7.76,71.76,8830,8896
143,82,60,1,6.24,62.43,8895,8977
144,57,65,1,8.98,185.70,8976,9033
145,43,87,1,11.91,333.06,9032,9075
146,56,43,1,9.14,108.09,9074,9130
147,54,61,1,9.48,121.55,9129,9183
148,59,61,1,8.68,136.90,9182,9241
149,74,61,1,6.92,93.64,9240,9314
150,69,33,1,7.42,54.56,9313,9382
151,56,102,1,9.14,200.98,9381,9437
152,80,35,1,6.40,35.19,9436,9516
153,46,62,1,11.13,174.11,9515,9561
154,69,55,1,7.42,88.50,9560,9629
155,59,49,1,8.68,89.27,9628,9687
156,69,61,1,7.42,95.78,9686,9755
157,76,33,1,6.74,42.06,9754,9830
158,60,36,1,8.53,53.48,9829,9889
159,65,94,1,7.88,189.49,9888,9953
160,71,57,1,7.21,74.34,9952,10023
